site,name pack,reviews
,Cozy Cartoon Profession Rooms Interior 4 Low-poly 3D model,whooke79Buyer of this modelI have a lot of mnostva's assets - they are always high quality and easy to work with. Thanks for the great work!
,Cartoon City Islands Exteriors Low-poly 3D model,"visio-userBuyer of this modelThe city islands have a really charming look and are easy to work with. I especially like how clean and readable everything feels from a distance while still keeping enough detail up close.1 month agohehernangald502Buyer of this modelReally Good Models! Worth every penny.1 month agomumustazBuyer of this modelLovely work! Looks fantastic and was set up beautifully for the quick little mockup I had to get done. Thank you!10 months agochchromanticBuyer of this modelLove the style, and the ease of using the assets.1 year agodadavidchaselingBuyer of this modelMy second purchase from this artist! Extremely happy again. The artist has so many assets I honestly don't think I will need to look elsewhere for the remaining models I need to build my game!"
,Low Poly Wild West Set Low-poly 3D model,"ganaranpanBuyer of this modelReally liked working with this pack. The Wild West style feels cohesive and fits well together, which made it easy to quickly block out scenes without extra cleanup. Everything integrated smoothly into my existing setup!6 days agoalaliberationBuyer of this modelVery wellmade low poly models!2 months agodadavidchaselingBuyer of this modelMy 4th pack purchased from this artist!! For me I love the style. Works super well with my game. I can always rely on the assets being super consistant in terms of low poly count (no unnessary poly's like many other artists), style and little things like pivot points."
,Cartoon Stores Eateries Islands Exteriors 2 Low-poly 3D model,rak2410Buyer of this modelArt style is really good and cute. Optimized for mobile and has Unity Prefabs! Very polished! Overall recommended. Will look forward to more in future. Thanks!
,Cartoon Farm Islands Exteriors Low-poly 3D model,"visio-userBuyer of this modelReally enjoy the cozy farm vibe of this pack. The islands feel lively and well designed, and the stylized look works perfectly for casual or relaxing projects. Everything fits together naturally and makes scene building very easy.1 month agogigizmoideBuyer of this modelSuch cute and well-made models!1 year agokikitty77Buyer of this modelGreat models!2 years agoakakennyBuyer of this modelFantastic, cute assets and ready to use in my game!"
,Fantasy Islands Modular Pack Low-poly 3D model,"lordpegasusBuyer of this modelTalented and helpful artist...I love this package, simple but very original and stylized!1 year agokikitty77Buyer of this modelThe buyer left positive feedback on this model"
,Low Poly Christmas Set Low-poly 3D model,"samgoodcityBuyer of this modelReally nice models, well made and easy to work with!"
,Cozy Cartoon Profession Rooms Interior 3 Low-poly 3D model,whooke79Buyer of this modelLooks great and very easy to work with! Very well done!
,Cartoon Farm Islands Exteriors 2 Low-poly 3D model,"visio-userBuyer of this modelGood amount of environmental assets and the overall presentation feels very polished!1 month agofafaysalbidaBuyer of this modelHigh-quality 3D model, very well constructed, fully optimized with lots of accessories—you'll get your money's worth!5 months agokikitty77Buyer of this modelGreat models!2 years agoakakennyBuyer of this modelFantastic, cute assets and ready to use in my game!2 years agojojonasmagasBuyer of this modelThe buyer left positive feedback on this model"
,Cartoon Town Islands Exteriors Low-poly 3D model,"pixelplay333Buyer of this modelI was looking for a cartoon-style pack to build a small town for my project, and this one fit perfectly. I ended up getting both packs from this creator, and they work great together. The style is exactly what I was looking for - simple, colorful, and consistent. Made building a small town much easier than I expected.2 months agobabayusulistyosBuyer of this modelgreat simple model with many variations. we use it on blender. Seller is also communicative and helpfull2 years agokukurmanbekBuyer of this modelvery light and convenient model2 years ago"
,Cartoon Public Buildings Islands Exteriors 2 Low-poly 3D model,suleman4212Buyer of this modelAmazing cartoon exteriors. I am using them in my game and they perfectly go with the theme of the game. The best thing about the asset is that everything is properly organized and objects are well named. Thanks for the publisher for making such efforts.1 year agoJDJDOnlineBuyer of this modelBig fan of these packs. Only seller in the market that understands the correct stylization for a Cartoon pack. 10/10 as always
,Cartoon Fast Food Pack Low-poly 3D model,"JulianRMReturning buyer from this sellerAnother excellent pack from this creator. I already bought several cozy packs before and they all work great together. The quality is very high and the style is very polished. I also really like the variety and amount of assets included, it saves a lot of time when putting together cozy environments.3 months agovivisio-userReturning buyer from this sellerI found these awesome cartoon food packs and decided to reach out to the seller before buying. The seller was super friendly, explained everything clearly, and really helped me choose what I needed for my project. After that, I ended up buying all the packs and I’m very happy with the decision. All the assets match perfectly in style and quality. Bakery, meat, fast food, fish, vegetables, and fruits all work great together and make the scenes feel complete and consistent. Everything fits my project идеально and saves a lot of time when building environments. Highly recommended, great assets and a very pleasant experience overall."
,Cozy Cartoon Plants Low-poly 3D model,"pixelplay333Buyer of this modelGreat pack with a large variety of plants and flowers. The different models make it super easy to fill and enhance any project with cozy, lively greenery.5 months agowhwhooke79Buyer of this modelNice options! Easy to work with. Thanks! Wayne"
,Cartoon Public Buildings Islands Exteriors Low-poly 3D model,"suleman4212Buyer of this modelOne of the coolest cartoon exteriors I ever used. I am using them in my game and they perfectly go with the theme of the game. The best thing about the asset is that everything is properly organized and objects are well named. Thanks for the publisher for making such efforts.1 year agoJDJDOnlineBuyer of this modelVery nice models, been looking for some for a while that fit my stylization and this is the only one I could find and I'm happy to say I wasn't disappointed. Highly recommend"
,Cartoon City Islands Exteriors 2 Low-poly 3D model,"visio-userBuyer of this modelAlready used other packs from this creator, and this one blends perfectly with the rest. The style consistency between assets makes it easy to expand worlds and create bigger environments without visual mismatch.1 month agowhwhooke79Buyer of this modelI am using these assets in Daz - importing, texturing and editing materials works just like it should. Very easy to use, great toon style that is consistent across packages."
,Cozy Cartoon Rooms Interior 3 Low-poly 3D model,whooke79Buyer of this modelGreat assets - fun style. Easy to work with.
,Cartoon Fish and Seafood Pack Low-poly 3D model,"JulianRMReturning buyer from this sellerAmazing quality assets. I’ve bought several cozy packs from this creator before and they have all been consistently excellent. The models are very clean, stylized, and work perfectly together. What I really appreciate is the amount of assets included, it saves a lot of development time when building cozy scenes. Very happy with this purchase and definitely recommended3 months agovivisio-userReturning buyer from this sellerI found these awesome cartoon food packs and decided to reach out to the seller before buying. The seller was super friendly, explained everything clearly, and really helped me choose what I needed for my project. After that, I ended up buying all the packs and I’m very happy with the decision. All the assets match perfectly in style and quality. Bakery, meat, fast food, fish, vegetables, and fruits all work great together and make the scenes feel complete and consistent. Everything fits my project идеально and saves a lot of time when building environments. Highly recommended, great assets and a very pleasant experience overall."
,Cartoon Meat and Deli Pack Low-poly 3D model,"JulianRMReturning buyer from this sellerGreat pack with fantastic quality. I already own other cozy packs from this creator and they always deliver. The style is consistent and everything fits nicely with the other assets I’ve purchased. There’s also a really good amount of assets in the pack, which makes it very useful and saves a lot of time when creating environments.3 months agovivisio-userReturning buyer from this sellerI found these awesome cartoon food packs and decided to reach out to the seller before buying. The seller was super friendly, explained everything clearly, and really helped me choose what I needed for my project. After that, I ended up buying all the packs and I’m very happy with the decision. All the assets match perfectly in style and quality. Bakery, meat, fast food, fish, vegetables, and fruits all work great together and make the scenes feel complete and consistent. Everything fits my project идеально and saves a lot of time when building environments. Highly recommended, great assets and a very pleasant experience overall."
,MEGA PACK Low Poly Worlds Islands Exteriors Low-poly 3D model,kitty77Buyer of this modelGreat models!
,Low Poly Retro Vintage Rooms Interiors 2 Low-poly 3D model,"pixelplay333Buyer of this modelSolid pack with a clear style direction. The retro look is simple but very effective, and it works well for stylized or nostalgic projects. Easy to use and helps quickly put together good-looking interior scenes.1 month agoboxelsBuyer of this modelAmazing! The lighting, the clean topology, the details, the color schemas, all are perfection! These are life savers for scene setups and storytelling! !"
,Low-Poly Medieval Environment Pack Low-poly 3D model,ganaranpanBuyer of this modelGood overall quality and consistent medieval style across all assets. It worked well in my scenes and was easy to integrate into existing environments without issues.
,Cartoon Town Islands Exteriors 2 Low-poly 3D model,"pixelplay333Buyer of this modelI was looking for a cartoon-style pack to build a small town for my project, and this one fit perfectly. I ended up getting both packs from this creator, and they work great together. The style is exactly what I was looking for - simple, colorful, and consistent. Made building a small town much easier than I expected.2 months agofafaysalbidaBuyer of this modelHigh-quality 3D model, very well constructed, fully optimized with lots of accessories—you'll get your money's worth!"
,Low Poly Retro Apartments Interiors Pack Low-poly 3D model,"pixelplay333Buyer of this modelI picked up the Low Poly Retro Apartments Interiors Pack and it fits perfectly into my project. I’m combining it with the Mega Pack Apartments Interiors, and together they give me a lot of flexibility when building different apartment scenes. The support team was friendly and helped me with a few details before purchase. Great experience overall.3 months agoBEST PRICE GUARANTEED
Low Poly Retro Apartments Interiors Pack Low-poly 3D modelhttps://www.cgtrader.com/3d-models/interior/house-interior/low-poly-retro-apartments-interiors-pack#reviews
$69.93$99.90-30%Royalty Free License (no AI)Add to wishlistAdd to cartCreated byhttps://www.cgtrader.com/designers/mnostvahttps://www.cgtrader.com/designers/mnostva#reviewshttps://www.cgtrader.com/3d-modeling-jobs/new/hire-designer/mnostva?meta_source=product_pageMessageFollow31635ShareNative file formathttps://www.cgtrader.com/3d-models/ext/unitypackageSize: 842 MB2021.x6.xTuanjie Engine 1.8.1Exchange formatshttps://www.cgtrader.com/3d-models/ext/blendhttps://www.cgtrader.com/3d-models/ext/objhttps://www.cgtrader.com/3d-models/ext/fbxhttps://www.cgtrader.com/3d-models/ext/mahttps://www.cgtrader.com/3d-models/ext/gltfhttps://www.cgtrader.com/3d-models/ext/hrdhttps://www.cgtrader.com/3d-models/ext/pngTEXTUREShttps://www.cgtrader.com/3d-models/ext/stlhttps://www.cgtrader.com/3d-models/ext/exrhttps://www.cgtrader.com/3d-models/ext/uassetVerified by CGTraderFBXFile & sceneBinary FBXNo unsupported objectsGeometryNo N-gonsNo faceted geometryManifold geometryTextures & materialPBR texturesNo embed texturesSquare texturesPower of 2 texture sizesAssigned materialsUVs & namingNo UV overlapsUV unwrapped modelAllowed characters"
,Mega Pack Apartments Interiors Low-poly 3D model,"pixelplay333Buyer of this modelI bought the Mega Pack Apartments Interiors for my project and it gave me a huge variety of ready-to-use assets. I’m also using it together with the Low Poly Retro Apartments Interiors Pack, and they combine really well stylistically. Support was very helpful and answered my questions quickly, which made the whole process easy. Very happy with this purchase.3 months ago"
,Cartoon Interactive Rooms and Furniture - Cozy Interior Pack 2 Low-poly 3D model,"visio-userReturning buyer from this sellerGot this as my second pack from the same creator and I’m honestly really impressed again. Everything feels consistent, easy to work with, and just fits nicely into my project. It’s rare to find assets that you can drop in and use right away without extra fixes. Definitely looking forward to more packs like this!2 months agoVoVortexXxReturning buyer from this sellerThis is already my second interactive pack from this creator, and I’m honestly really happy with it. I’ve tried a few interactive asset packs before, but this one stands out - everything actually works the way you expect. A lot of furniture is properly interactive, not just for show, which makes a big difference when building gameplay systems. It saved me a lot of time compared to setting things up manually. Definitely one of the better interactive interior packs I’ve worked with so far."
,Low Poly Exterior Worlds Low-poly 3D model,davidchaselingBuyer of this modelGreat pack! 10/10
,Stylized Italian Pizza Cities Exteriors Low-poly 3D model,pixelplay333Buyer of this modelReally fun and unique pack to work with. Integration was smooth - everything fits together nicely and was easy to drop into my project. Nice option if you want something different from typical city assets.
,Low Poly Worlds Islands Exteriors Pack 5 Low-poly 3D model,"VortexXxBuyer of this modelGreat models, I like everything."
,Low Poly Rooms Interior Low-poly 3D model,"fahmy-zoneBuyer of this modelWe are working on a very tight schedule and need the rooms as part of the animation project. Thank god we found this asset and use these in a very smooth process, Highly recommended the author and their stunning portfolio, Yes we love Mnostva works... and you should try too! Thank you Mnostva ...."
,Low Poly City Pack Low-poly 3D model,"fahmy-zoneBuyer of this modelVery helpful content, this is the most accessible asset we have to finish our project. Love the details and the creativity is so amazing. Thank you for the great product you provided."
,Low Poly Worlds Islands Exteriors Pack 3 Low-poly 3D model,"VortexXxBuyer of this modelGood quality, Good style!2 months agomumummydefigBuyer of this modelThis pack is perfect for what I wanted. I wanted to make something different in Fortnite and this is going to be awesome. Would also love to work with Mnostva again in future projects as thier creativity is a perfect match for our vision moving forward in Fortnite."
,Low Poly Worlds Islands Exteriors Pack 2 Low-poly 3D model,VortexXxBuyer of this modelIt looks amazing with lots of varieties.
